bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,price
2.00,1.00,1190.00,4440.00,1190.00,0.00,382500.00
3.00,2.25,1170.00,1249.00,1170.00,0.00,519950.00
2.00,1.00,1110.00,3200.00,1110.00,0.00,665000.00
5.00,2.50,2820.00,9375.00,1550.00,1270.00,527700.00
3.00,1.00,1610.00,8579.00,1010.00,600.00,205000.00
3.00,1.00,1060.00,8097.00,940.00,120.00,420000.00
4.00,2.25,2030.00,8517.00,1380.00,650.00,500000.00
4.00,2.50,3670.00,315374.00,3670.00,0.00,921500.00
4.00,1.00,2550.00,4000.00,2370.00,180.00,890000.00
2.00,2.50,2420.00,60984.00,2420.00,0.00,430000.00
5.00,2.00,2260.00,12500.00,1130.00,1130.00,258000.00
3.00,1.00,1430.00,3455.00,980.00,450.00,511000.00
3.00,2.00,1360.00,3090.00,1360.00,0.00,532170.00
3.00,1.00,1110.00,5000.00,1110.00,0.00,560000.00
3.00,1.00,1250.00,8200.00,1250.00,0.00,282950.00
4.00,3.25,5180.00,19850.00,3540.00,1640.00,2250000.00
1.00,1.00,700.00,5100.00,700.00,0.00,350000.00
3.00,1.00,1180.00,7669.00,1180.00,0.00,215000.00
5.00,3.50,3960.00,25245.00,2500.00,1460.00,650000.00
4.00,2.75,2640.00,7500.00,1620.00,1020.00,320000.00
3.00,2.00,1270.00,7198.00,1270.00,0.00,247000.00
4.00,1.75,1760.00,11180.00,1760.00,0.00,320000.00
5.00,2.25,2060.00,8632.00,1030.00,1030.00,255000.00
3.00,1.75,1780.00,9660.00,1780.00,0.00,438000.00
3.00,2.50,3400.00,16603.00,3400.00,0.00,900000.00
3.00,2.75,1910.00,7280.00,1160.00,750.00,441000.00
3.00,2.00,2020.00,38332.00,1010.00,1010.00,420000.00
3.00,1.75,1580.00,7000.00,1180.00,400.00,370000.00
2.00,1.75,1340.00,7250.00,700.00,640.00,269950.00
4.00,2.50,2680.00,4499.00,2680.00,0.00,807100.00
3.00,2.50,2680.00,9750.00,1610.00,1070.00,653000.00
3.00,2.00,1370.00,8336.00,1370.00,0.00,371500.00
3.00,1.75,1560.00,21000.00,1560.00,0.00,284000.00
3.00,1.75,2160.00,7140.00,1670.00,490.00,272000.00
3.00,1.50,1340.00,7912.00,1340.00,0.00,313000.00
4.00,2.50,3880.00,35003.00,2570.00,1310.00,917500.00
4.00,2.25,2590.00,8190.00,2590.00,0.00,673000.00
3.00,2.50,1120.00,1100.00,820.00,300.00,425000.00
5.00,2.75,1970.00,5400.00,1320.00,650.00,399950.00
3.00,1.00,1220.00,4800.00,1220.00,0.00,385000.00
3.00,1.50,1950.00,7560.00,1320.00,630.00,269950.00
2.00,1.00,1350.00,8220.00,1060.00,290.00,330000.00
3.00,2.50,1670.00,5797.00,1670.00,0.00,260000.00
4.00,3.00,2380.00,5125.00,1680.00,700.00,470000.00
4.00,3.00,2440.00,9600.00,2440.00,0.00,589000.00
2.00,1.50,1050.00,3419.00,1050.00,0.00,163500.00
4.00,2.75,3130.00,13412.00,2140.00,990.00,835000.00
5.00,3.00,4090.00,12850.00,2090.00,2000.00,1095000.00
4.00,1.75,1490.00,10000.00,1100.00,390.00,269000.00
3.00,2.50,1900.00,8744.00,1900.00,0.00,560000.00
4.00,1.00,1330.00,2400.00,1330.00,0.00,615000.00
3.00,2.25,2230.00,10026.00,1430.00,800.00,585188.00
3.00,1.75,1650.00,9480.00,1220.00,430.00,305000.00
3.00,1.00,1190.00,8820.00,1190.00,0.00,166950.00
3.00,2.50,2140.00,9897.00,2140.00,0.00,799000.00
3.00,2.50,2180.00,7508.00,1420.00,760.00,400000.00
3.00,1.00,1060.00,10228.00,1060.00,0.00,230000.00
3.00,2.50,1690.00,5025.00,1690.00,0.00,256883.00
4.00,2.00,1970.00,6480.00,1130.00,840.00,423000.00
3.00,2.50,2150.00,4084.00,2150.00,0.00,465000.00
3.00,2.50,1910.00,66211.00,1910.00,0.00,440000.00
3.00,1.75,1350.00,155073.00,1350.00,0.00,385000.00
3.00,1.00,860.00,11725.00,860.00,0.00,210000.00
3.00,2.50,1940.00,14952.00,1940.00,0.00,297000.00
3.00,1.00,1010.00,5000.00,1010.00,0.00,470000.00
3.00,1.50,1300.00,7370.00,900.00,400.00,226500.00
3.00,1.00,910.00,8450.00,910.00,0.00,274250.00
4.00,1.75,2480.00,11010.00,1630.00,850.00,840000.00
3.00,2.50,2440.00,4587.00,2440.00,0.00,677900.00
3.00,1.00,1010.00,5864.00,1010.00,0.00,425000.00
2.00,0.75,900.00,9600.00,900.00,0.00,180250.00
6.00,3.00,2300.00,3404.00,1600.00,700.00,464000.00
4.00,2.25,1550.00,7579.00,1550.00,0.00,320000.00
3.00,2.25,1270.00,1566.00,1060.00,210.00,625504.00
4.00,2.50,2240.00,12032.00,2240.00,0.00,592500.00
3.00,2.50,2714.00,17936.00,2714.00,0.00,465000.00
4.00,2.75,1720.00,6270.00,1720.00,0.00,477000.00
2.00,1.00,850.00,16400.00,850.00,0.00,280000.00
5.00,3.00,3300.00,33474.00,1870.00,1430.00,1505000.00
3.00,2.50,2250.00,5692.00,2250.00,0.00,445838.00
2.00,2.25,3900.00,14864.00,1950.00,1950.00,1072000.00
2.00,1.50,1320.00,10800.00,1320.00,0.00,467000.00
4.00,2.50,2760.00,6440.00,2760.00,0.00,686000.00
3.00,2.00,1750.00,9750.00,1350.00,400.00,279950.00
4.00,2.25,2330.00,19436.00,2330.00,0.00,527000.00
3.00,2.25,2220.00,16020.00,1780.00,440.00,325000.00
3.00,2.25,2020.00,8379.00,2020.00,0.00,328000.00
3.00,2.25,1250.00,7500.00,1250.00,0.00,390000.00
2.00,2.00,1510.00,6516.00,1510.00,0.00,479950.00
4.00,2.25,1720.00,9753.00,1120.00,600.00,264950.00
3.00,1.00,1430.00,15246.00,980.00,450.00,235000.00
3.00,2.50,1480.00,4729.00,1480.00,0.00,516500.00
2.00,1.75,1450.00,15798.00,1230.00,220.00,655000.00
4.00,2.75,2280.00,15347.00,2280.00,0.00,500000.00
6.00,2.75,2940.00,7350.00,1780.00,1160.00,315000.00
2.00,1.00,1000.00,10200.00,1000.00,0.00,213000.00
3.00,1.50,2480.00,5280.00,1620.00,860.00,475000.00
5.00,4.00,3760.00,28040.00,3760.00,0.00,1025000.00
3.00,2.00,2220.00,94300.00,1640.00,580.00,416000.00
4.00,1.00,1970.00,4740.00,1670.00,300.00,410000.00
3.00,3.50,3830.00,221284.00,3530.00,300.00,800000.00
6.00,2.50,4410.00,14034.00,2350.00,2060.00,472000.00
3.00,1.75,1430.00,8505.00,1430.00,0.00,225000.00
2.00,1.00,830.00,6000.00,830.00,0.00,210000.00
2.00,1.00,1430.00,5000.00,1430.00,0.00,455000.00
3.00,1.00,1300.00,8316.00,1300.00,0.00,225000.00
2.00,1.00,1030.00,3060.00,790.00,240.00,480000.00
3.00,2.50,2740.00,11872.00,2740.00,0.00,363000.00
4.00,2.50,3650.00,8354.00,1830.00,1820.00,2400000.00
2.00,1.50,720.00,5120.00,720.00,0.00,181000.00
4.00,2.00,2010.00,7312.00,2010.00,0.00,250000.00
3.00,1.75,1560.00,3000.00,770.00,790.00,481000.00
3.00,2.00,1810.00,7209.00,1240.00,570.00,260000.00
4.00,2.50,3360.00,7685.00,3360.00,0.00,455000.00
3.00,2.25,1510.00,36224.00,1510.00,0.00,415000.00
3.00,1.00,1400.00,3538.00,800.00,600.00,349500.00
3.00,2.50,1730.00,7442.00,1730.00,0.00,245000.00
2.00,2.00,1420.00,9191.00,1420.00,0.00,592500.00
4.00,1.75,2360.00,7620.00,1180.00,1180.00,385000.00
3.00,1.75,1580.00,11455.00,1200.00,380.00,315000.00
3.00,1.00,1230.00,10170.00,1230.00,0.00,255000.00
4.00,2.50,2460.00,4425.00,2460.00,0.00,693000.00
3.00,1.00,1660.00,4400.00,1460.00,200.00,780000.00
3.00,1.75,1270.00,8470.00,1270.00,0.00,237000.00
3.00,2.25,2100.00,40510.00,1320.00,780.00,525000.00
2.00,1.00,770.00,5040.00,770.00,0.00,425000.00
1.00,0.75,760.00,10079.00,760.00,0.00,369900.00
4.00,2.50,1700.00,7280.00,1700.00,0.00,290000.00
3.00,1.00,1120.00,10701.00,1120.00,0.00,285000.00
2.00,1.00,1070.00,4500.00,1070.00,0.00,415000.00
3.00,2.50,2070.00,9900.00,1420.00,650.00,272500.00
4.00,3.25,5050.00,20100.00,4750.00,300.00,2900000.00
4.00,4.75,5310.00,57346.00,5310.00,0.00,1365000.00
2.00,1.00,1040.00,7538.00,1040.00,0.00,436000.00
3.00,1.00,1700.00,11390.00,1700.00,0.00,210000.00
3.00,1.00,1300.00,5898.00,1300.00,0.00,236000.00
3.00,1.75,1080.00,1306.00,580.00,500.00,331000.00
3.00,2.50,2653.00,4510.00,2653.00,0.00,365000.00
3.00,2.00,2290.00,16258.00,2290.00,0.00,450000.00
4.00,2.75,3820.00,26300.00,2850.00,970.00,770000.00
4.00,2.50,2210.00,49375.00,2210.00,0.00,455000.00
3.00,1.75,2390.00,6000.00,1240.00,1150.00,405000.00
4.00,1.75,2600.00,11325.00,1610.00,990.00,304900.00
2.00,1.00,860.00,5265.00,860.00,0.00,170000.00
5.00,3.00,3830.00,8480.00,2630.00,1200.00,2050000.00
4.00,2.50,3500.00,7048.00,3500.00,0.00,780000.00
3.00,3.00,2420.00,13959.00,1740.00,680.00,330000.00
4.00,2.50,2720.00,8666.00,2720.00,0.00,370000.00
5.00,2.25,2500.00,13500.00,1850.00,650.00,467000.00
3.00,1.75,1670.00,6720.00,1140.00,530.00,405000.00
5.00,2.25,2900.00,10300.00,1450.00,1450.00,675000.00
2.00,1.00,1640.00,14100.00,1140.00,500.00,500000.00
4.00,2.50,1890.00,15770.00,1890.00,0.00,389999.00
4.00,1.75,2950.00,9025.00,1780.00,1170.00,630000.00
4.00,2.50,2160.00,9528.00,2160.00,0.00,360000.00
4.00,3.00,3280.00,11060.00,2270.00,1010.00,580000.00
3.00,2.00,1970.00,4166.00,1270.00,700.00,550000.00
4.00,2.50,3360.00,22111.00,3360.00,0.00,879000.00
3.00,2.00,1320.00,8959.00,1320.00,0.00,265000.00
3.00,2.50,2650.00,7286.00,2650.00,0.00,446500.00
3.00,1.50,2030.00,8880.00,1330.00,700.00,404000.00
3.00,1.75,1590.00,11914.00,1090.00,500.00,267500.00
4.00,5.00,4550.00,18641.00,2600.00,1950.00,3075000.00
3.00,2.50,2440.00,7632.00,2440.00,0.00,335000.00
3.00,2.50,1940.00,9000.00,970.00,970.00,576000.00
3.00,2.50,2040.00,3810.00,2040.00,0.00,208633.00
3.00,2.25,2200.00,8750.00,1120.00,1080.00,315000.00
3.00,1.75,1920.00,3300.00,960.00,960.00,725000.00
4.00,2.75,1800.00,7750.00,1400.00,400.00,550000.00
4.00,2.25,2180.00,7297.00,2180.00,0.00,610750.00
2.00,1.00,1010.00,5000.00,1010.00,0.00,550700.00
4.00,2.75,3320.00,10574.00,2220.00,1100.00,665000.00
4.00,2.50,2370.00,4000.00,1980.00,390.00,834000.00
5.00,1.75,1660.00,78408.00,1660.00,0.00,201000.00
5.00,2.50,3650.00,9050.00,3370.00,280.00,2384000.00
4.00,3.25,4290.00,12103.00,2690.00,1600.00,1384000.00
4.00,3.25,4290.00,12103.00,2690.00,1600.00,1400000.00
4.00,2.25,1950.00,7700.00,1350.00,600.00,305000.00
3.00,2.00,2590.00,14052.00,1720.00,870.00,487000.00
3.00,2.50,1930.00,64904.00,1930.00,0.00,390000.00
2.00,1.00,1470.00,3864.00,1170.00,300.00,548000.00
4.00,1.00,800.00,8775.00,800.00,0.00,268750.00
5.00,2.75,3150.00,7119.00,3150.00,0.00,819900.00
3.00,2.25,2030.00,16200.00,2030.00,0.00,520000.00
3.00,2.00,1450.00,11204.00,1450.00,0.00,230000.00
3.00,1.75,1510.00,10248.00,1510.00,0.00,240000.00
2.00,1.00,1240.00,12092.00,960.00,280.00,232000.00
2.00,1.00,1240.00,12092.00,960.00,280.00,240500.00
3.00,2.50,3030.00,45004.00,3030.00,0.00,274975.00
4.00,2.00,2050.00,4400.00,2050.00,0.00,740000.00
3.00,1.00,1000.00,7636.00,1000.00,0.00,186375.00
3.00,2.25,2370.00,10289.00,1590.00,780.00,790000.00
4.00,3.50,2800.00,6750.00,1890.00,910.00,880000.00
6.00,1.75,2240.00,11180.00,2240.00,0.00,279000.00
3.00,2.00,1810.00,10530.00,1810.00,0.00,295000.00
2.00,1.00,1070.00,5000.00,1070.00,0.00,640000.00
4.00,2.00,2490.00,9525.00,2490.00,0.00,940000.00
4.00,2.50,1960.00,5238.00,1960.00,0.00,260000.00
3.00,2.75,2930.00,5569.00,1860.00,1070.00,559900.00
4.00,2.00,1510.00,3500.00,1510.00,0.00,791500.00
3.00,1.75,1420.00,8250.00,1420.00,0.00,265000.00
3.00,1.75,1740.00,11547.00,1740.00,0.00,245000.00
4.00,1.75,2560.00,43995.00,2560.00,0.00,485000.00
4.00,3.50,3040.00,8414.00,2420.00,620.00,684000.00
3.00,1.75,2500.00,6840.00,1300.00,1200.00,425000.00
4.00,1.75,1275.00,20000.00,1275.00,0.00,309600.00
4.00,2.50,2580.00,5823.00,2580.00,0.00,552250.00
4.00,1.00,1000.00,7134.00,1000.00,0.00,165000.00
4.00,1.00,1000.00,7134.00,1000.00,0.00,239900.00
2.00,1.00,1070.00,32633.00,1070.00,0.00,320000.00
3.00,2.00,1390.00,13464.00,1390.00,0.00,206600.00
4.00,1.75,2500.00,7690.00,1250.00,1250.00,387000.00
1.00,0.75,560.00,12120.00,560.00,0.00,299000.00
4.00,2.75,2270.00,10460.00,2270.00,0.00,855000.00
3.00,1.00,1900.00,14400.00,1300.00,600.00,315000.00
2.00,1.00,990.00,3120.00,790.00,200.00,437500.00
4.00,1.50,1550.00,19800.00,1050.00,500.00,252000.00
4.00,1.75,2200.00,7475.00,1100.00,1100.00,375000.00
4.00,2.50,1910.00,4862.00,1910.00,0.00,300000.00
4.00,1.00,1750.00,9600.00,1750.00,0.00,420000.00
3.00,1.00,1330.00,77972.00,1330.00,0.00,900000.00
3.00,2.50,2440.00,5750.00,1980.00,460.00,679900.00
3.00,2.50,1640.00,29970.00,1640.00,0.00,463000.00
5.00,2.50,2760.00,11340.00,2760.00,0.00,380000.00
4.00,2.50,1820.00,7912.00,1820.00,0.00,329500.00
3.00,2.50,2110.00,5608.00,1340.00,770.00,604950.00
5.00,2.50,3040.00,9570.00,1640.00,1400.00,795000.00
3.00,2.00,1840.00,40438.00,1840.00,0.00,465000.00
4.00,2.50,2990.00,10400.00,2990.00,0.00,673000.00
4.00,2.50,3520.00,15420.00,3520.00,0.00,810000.00
4.00,2.75,2440.00,69415.00,1910.00,530.00,785000.00
4.00,3.00,2090.00,7500.00,1370.00,720.00,338000.00
3.00,2.25,1430.00,7222.00,1430.00,0.00,280000.00
4.00,2.25,2180.00,10754.00,1100.00,1080.00,315000.00
4.00,2.25,2180.00,10754.00,1100.00,1080.00,530000.00
5.00,3.00,3450.00,9914.00,3450.00,0.00,380000.00
3.00,2.25,1450.00,7562.00,1450.00,0.00,297000.00
4.00,2.50,3230.00,7331.00,3230.00,0.00,730000.00
3.00,1.75,1640.00,13500.00,1110.00,530.00,450000.00
3.00,3.00,1590.00,7750.00,1060.00,530.00,275000.00
4.00,2.00,2020.00,2849.00,2020.00,0.00,595000.00
3.00,1.50,1300.00,3348.00,1300.00,0.00,435000.00
2.00,1.50,1380.00,209959.00,1380.00,0.00,270000.00
3.00,3.00,4040.00,14338.00,3030.00,1010.00,950000.00
4.00,2.25,2130.00,5337.00,2130.00,0.00,389000.00
4.00,2.25,2550.00,7800.00,1580.00,970.00,560000.00
5.00,3.50,4800.00,14984.00,3480.00,1320.00,1350000.00
4.00,2.25,2510.00,11585.00,2510.00,0.00,799000.00
3.00,2.00,1410.00,9600.00,1410.00,0.00,365500.00
3.00,2.00,1650.00,7352.00,1160.00,490.00,252350.00
4.00,2.50,2120.00,13780.00,2120.00,0.00,403950.00
4.00,1.50,2040.00,10726.00,1380.00,660.00,385000.00
4.00,1.00,1550.00,7620.00,1550.00,0.00,345000.00
3.00,2.75,1980.00,3128.00,1980.00,0.00,490000.00
3.00,2.50,1600.00,26977.00,1600.00,0.00,330000.00
4.00,2.75,3300.00,12090.00,3300.00,0.00,927000.00
4.00,2.50,3840.00,16619.00,3840.00,0.00,1118000.00
2.00,1.00,1220.00,10000.00,1220.00,0.00,330000.00
5.00,2.25,2720.00,8800.00,1500.00,1220.00,530000.00
4.00,2.00,1940.00,25600.00,1940.00,0.00,365000.00
3.00,2.50,2160.00,3000.00,1260.00,900.00,378750.00
4.00,1.75,1530.00,8750.00,1530.00,0.00,269900.00
3.00,3.50,1710.00,2096.00,1290.00,420.00,557000.00
4.00,1.75,3730.00,16980.00,2150.00,1580.00,360000.00
2.00,1.00,940.00,5000.00,940.00,0.00,352000.00
3.00,2.50,1750.00,22357.00,1750.00,0.00,437000.00
4.00,2.50,1820.00,6753.00,1820.00,0.00,322500.00
3.00,3.25,1510.00,2000.00,1330.00,180.00,650000.00
3.00,2.00,1290.00,1213.00,1290.00,0.00,450000.00
3.00,2.00,1570.00,5250.00,1570.00,0.00,278500.00
4.00,2.50,1930.00,6957.00,1930.00,0.00,364950.00
4.00,3.50,2840.00,40139.00,2840.00,0.00,840000.00
3.00,2.50,1550.00,8134.00,1550.00,0.00,268000.00
2.00,1.00,833.00,143947.00,833.00,0.00,517534.00
3.00,2.50,2990.00,32239.00,2990.00,0.00,632925.00
3.00,2.50,2000.00,7251.00,2000.00,0.00,577500.00
4.00,1.50,2390.00,7480.00,2390.00,0.00,339000.00
3.00,1.75,2910.00,37461.00,1530.00,1380.00,570000.00
4.00,1.75,2085.00,174240.00,1610.00,475.00,563500.00
4.00,2.25,2200.00,9351.00,1290.00,910.00,423000.00
3.00,2.25,1860.00,5028.00,1860.00,0.00,355000.00
5.00,4.25,6070.00,171626.00,6070.00,0.00,1550000.00
2.00,1.00,950.00,3960.00,950.00,0.00,482000.00
3.00,1.75,1600.00,9135.00,1600.00,0.00,625000.00
3.00,2.50,2250.00,11632.00,2250.00,0.00,538000.00
3.00,2.50,2280.00,10255.00,2280.00,0.00,380000.00
2.00,1.00,940.00,5120.00,940.00,0.00,375000.00
3.00,2.50,1530.00,8500.00,1030.00,500.00,245000.00
5.00,1.75,2190.00,27260.00,2190.00,0.00,310000.00
3.00,2.00,2350.00,15021.00,1770.00,580.00,1300000.00
4.00,2.00,1440.00,7680.00,1200.00,240.00,397000.00
3.00,2.50,2200.00,4052.00,2200.00,0.00,365000.00
4.00,3.00,2290.00,8250.00,2290.00,0.00,328500.00
4.00,3.00,4040.00,19700.00,4040.00,0.00,988000.00
4.00,2.50,2610.00,3277.00,1920.00,690.00,1000000.00
3.00,2.50,1490.00,2138.00,1490.00,0.00,237000.00
