Avg. Area Income,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
75312.26,6.67,4.09,9487.92,944001.56
81328.81,6.91,3.01,31231.54,1523136.48
77931.48,6.65,3.33,23182.60,1422916.81
84602.60,7.01,6.11,39683.44,1945618.66
72445.03,6.51,2.48,69553.99,1726719.07
57497.13,7.52,5.17,43204.16,1051123.83
87266.34,7.23,5.00,45161.19,2249122.54
62431.94,8.60,4.48,44115.98,1523915.14
72107.43,6.98,3.00,29981.35,1039517.53
55577.07,7.16,3.47,19560.01,818057.90
62327.89,7.29,4.43,43364.43,1115466.59
73931.14,6.98,2.46,29568.96,1258178.80
63429.27,8.44,3.31,37999.00,1435423.71
73423.90,5.81,3.49,34711.78,1153470.44
75175.87,5.20,2.07,22367.48,1425603.49
56636.25,7.86,4.50,28139.37,1048350.69
67665.94,6.33,3.41,24758.49,1214482.38
65986.82,6.86,2.15,24056.60,821859.07
54273.91,6.80,4.44,24233.06,753652.27
75547.84,7.33,6.12,40043.10,1220001.33
70151.09,7.71,5.41,15255.24,1075675.11
74449.12,7.39,3.10,24837.59,1396082.35
66919.64,7.32,6.03,18867.78,1137801.93
68473.86,6.23,2.19,43146.98,1159953.59
76113.22,7.74,5.07,26481.51,1487849.88
61212.20,5.54,3.50,32045.56,1103072.44
59768.81,7.43,3.48,26202.63,897291.12
78847.54,7.03,3.26,20653.90,1214320.57
75735.34,8.07,5.28,37268.27,1364363.38
77847.35,7.28,3.21,30231.81,1249092.93
56231.16,5.01,2.47,52657.03,946479.23
89163.50,6.01,2.27,44016.15,1659805.18
62377.06,7.22,4.46,39075.96,1285399.56
68864.28,4.97,4.17,29802.32,898281.90
82440.90,7.04,5.04,27545.53,1483848.17
60948.88,6.22,2.36,39754.39,1353488.42
69729.61,7.24,5.11,31719.74,1268703.81
75491.80,7.33,6.14,26013.68,1448573.84
80648.07,5.88,3.49,35091.96,1343605.80
84036.60,5.74,4.21,32766.60,1511537.75
76590.38,7.69,3.31,40643.08,1662038.76
63534.46,8.02,3.23,38128.98,1166673.20
67270.00,7.47,6.39,41780.47,1375633.37
50887.44,7.06,4.16,47731.01,839638.46
80597.11,7.66,3.10,34487.57,1638265.39
66041.12,8.22,5.15,40163.97,1385400.46
81316.38,7.20,3.36,35589.59,1153233.24
67877.03,7.96,5.28,43300.95,1370178.47
69306.96,6.94,2.02,36851.38,1181877.18
61200.73,6.23,4.23,42789.69,894251.07
70619.17,7.94,5.15,37865.65,1421135.81
69910.85,5.63,4.04,38440.74,1028964.47
64889.22,7.66,3.20,25904.98,923508.13
69900.13,8.37,6.34,32679.19,1599634.47
79045.04,8.20,5.26,24721.96,1369186.07
76460.22,6.63,4.16,46851.04,1748782.81
58307.73,8.31,4.07,25509.07,1150877.74
56679.02,8.97,5.49,40785.03,1110598.75
58823.05,7.17,4.21,38682.57,1159207.08
80836.34,7.42,3.02,49864.47,1811377.22
67710.11,8.48,4.18,25222.46,1267443.40
70027.65,5.36,3.22,40512.82,1352547.69
36100.44,5.50,2.29,44901.86,599504.02
67217.49,6.26,4.19,23999.76,717213.27
63657.28,5.81,3.43,36391.93,1008712.58
71468.27,5.49,3.25,36377.84,1071596.11
62989.51,6.60,4.46,36913.35,1397341.86
69327.26,7.11,6.45,31054.78,1313304.59
94902.24,8.42,3.01,41662.08,2106510.86
79579.20,7.11,3.44,31756.41,1306458.91
73756.12,6.40,3.29,59485.07,1354928.95
65873.94,8.56,4.49,39785.63,1582765.59
52934.44,6.46,3.44,46520.69,847155.04
82830.59,7.12,4.13,32026.91,1342245.97
73930.84,7.68,4.16,42702.40,1363086.90
58557.13,7.04,6.40,54167.34,1275318.56
51718.35,7.11,3.11,49639.17,1285923.73
69807.72,7.26,3.38,51453.27,1789607.53
79627.63,6.29,2.15,31638.85,1196064.33
97112.36,6.13,3.10,51470.07,1917584.00
74354.23,6.15,4.39,30091.12,1370274.39
72481.03,8.46,3.07,45160.10,1677204.25
73093.49,5.78,2.37,41796.13,1439714.28
51992.74,7.14,3.32,21759.51,1012262.71
66484.05,9.07,3.37,51712.14,1511743.13
81182.15,7.19,4.42,34141.19,1131154.52
79103.94,7.42,4.47,25767.82,764860.46
75070.26,6.26,2.29,44682.76,1681316.36
44688.56,6.49,3.17,25120.99,291724.25
73726.18,7.11,3.13,28666.77,1013252.21
64038.99,7.53,4.28,54130.98,1194709.63
69896.52,7.99,4.25,38180.82,1463003.06
73723.46,9.15,6.50,24723.28,1453327.92
79996.61,6.74,3.20,28067.63,1291506.39
61538.91,7.38,6.29,51154.13,1625508.01
47065.05,7.27,5.49,24125.88,566896.21
82381.55,8.05,4.14,36655.13,1468513.24
80857.44,8.84,3.12,44385.31,1573105.98
60893.76,7.52,5.18,49076.76,968360.52
66356.06,6.73,3.19,38022.84,1309985.89
78438.37,4.99,4.26,35220.38,1361219.30
61215.58,8.79,6.14,36495.17,1465120.47
64907.98,7.81,5.40,46677.27,1571464.97
80008.67,8.67,5.41,45889.89,1629098.18
71356.30,7.18,5.18,36998.48,1182335.68
72432.70,5.76,3.20,35039.47,1010813.71
67284.47,6.45,3.30,24942.89,924728.54
62653.09,7.88,3.28,41467.87,1382110.28
63968.61,8.60,3.32,27404.50,1366727.66
74233.95,6.62,4.02,32875.77,1297849.76
59729.25,7.27,6.47,31202.19,1196687.69
81132.00,6.90,4.12,32311.85,1281113.32
68500.82,7.03,5.36,51746.73,1530729.58
55050.31,7.15,6.20,29423.83,1208664.86
76840.46,7.45,5.20,29860.08,1417275.67
63428.92,7.31,6.13,42996.61,1195601.96
90592.47,9.71,5.19,37223.88,2469065.59
56685.01,7.50,3.38,43322.17,1223100.54
69230.75,5.04,2.27,43072.20,1220276.55
68916.65,6.29,3.09,42744.83,1311765.14
60509.04,8.53,6.29,28410.30,1198313.60
85719.32,6.03,3.19,32058.36,1187609.12
62134.02,6.81,2.20,32157.13,1399662.58
73435.18,8.87,4.23,36239.56,1597776.77
55612.76,7.19,4.22,42258.54,1355022.28
70879.91,7.63,5.47,22431.61,1137059.19
67461.45,8.00,3.04,34573.11,1053815.10
84439.86,7.70,4.48,19835.25,1242421.53
67802.31,7.79,3.11,36129.69,1222041.02
62685.27,6.77,2.17,42018.94,1025461.13
71392.47,7.84,4.26,36009.70,859427.98
59050.53,7.27,5.01,37741.36,1279803.95
87895.87,5.64,4.13,23876.13,1671669.45
70276.40,7.13,3.08,26630.48,1525601.79
72640.26,7.91,4.27,31470.62,998774.00
62894.13,6.64,4.22,20317.21,1012321.57
50846.01,7.94,3.12,45357.00,1252419.20
78688.29,7.35,6.39,47812.02,1869313.11
76397.04,6.76,3.23,45281.19,1800685.92
62162.63,7.29,6.43,47747.36,1393100.42
75090.76,6.37,4.29,39456.87,1166558.37
61801.47,7.48,5.49,36326.70,988175.01
77429.83,7.20,4.41,30108.24,1540480.61
74388.60,5.58,3.05,33763.08,866142.18
62566.56,6.35,2.41,29365.61,557362.20
68894.85,6.97,4.47,28851.60,1033290.97
68738.37,5.99,3.44,47445.36,1084945.40
74277.72,3.24,3.42,50233.79,1365081.18
81280.91,5.23,4.12,34933.20,1239459.81
86305.37,7.20,4.17,37854.37,2056692.77
59302.23,6.43,3.40,25296.74,1045395.33
81385.22,6.08,2.31,47897.16,1679204.74
64115.06,7.34,5.39,34312.41,1158742.83
90436.98,7.63,6.06,13340.49,1647278.68
75940.76,8.58,5.24,49974.88,1702090.64
70102.73,7.11,3.21,28281.00,1379386.38
69950.96,9.46,4.04,23733.79,1358526.74
65736.35,6.30,3.13,32964.02,991398.82
53825.01,6.46,4.42,27373.15,957117.65
86625.48,5.65,3.38,42758.67,1638969.27
69376.19,6.05,2.15,18226.18,714142.24
68423.02,4.46,2.21,13345.56,760876.02
68720.92,6.70,2.05,45887.35,1343537.18
70005.85,6.47,2.27,40325.17,1056993.65
66614.63,6.67,4.50,16654.26,1088222.42
58978.22,7.89,3.01,44071.60,1308983.63
64538.57,9.17,3.46,36678.06,1548322.50
76008.08,7.76,4.41,39842.86,1411749.11
87119.12,6.65,4.17,34671.60,1601904.36
62850.32,7.47,4.31,37764.36,1277297.48
66295.08,6.91,3.31,28112.17,1061552.02
63185.84,6.82,3.01,40080.69,1115013.15
74256.18,7.48,3.02,34684.10,1020842.53
71668.30,6.70,4.30,31352.41,1440961.86
54476.24,6.41,2.45,33533.92,817377.31
85281.69,6.81,2.47,22887.72,1381536.93
72137.84,8.68,3.46,38259.22,1273067.04
66112.54,7.01,6.31,20795.15,1376714.67
67047.18,6.70,2.08,37937.19,1293746.88
89358.87,7.38,3.46,34063.60,1750908.22
50189.14,5.19,3.30,35043.82,555811.41
73119.72,7.15,5.44,35426.69,1578829.01
67972.63,6.34,3.22,27865.33,911202.17
71739.61,7.72,5.18,37030.73,1628751.93
67292.60,6.87,2.11,41837.86,1245400.96
70243.44,6.36,2.13,24647.91,993725.22
78274.53,8.62,4.08,56299.77,1816099.14
84332.50,8.76,4.07,33107.34,1570583.34
79550.64,7.53,4.05,43636.50,1626321.32
79698.22,6.91,2.29,42046.34,1262494.29
71188.83,5.86,3.08,40656.13,1185226.62
74605.04,6.11,3.10,31638.23,1360329.36
71222.60,7.76,3.37,54677.97,1350459.12
80973.00,6.91,2.22,48036.61,1556987.72
51044.29,7.78,4.17,37730.01,886036.13
65066.54,7.58,6.40,27940.28,1129613.01
76259.83,7.12,3.32,19262.61,1070240.02
77456.41,7.21,3.48,37997.55,1587015.36
75376.95,8.18,3.26,25548.51,1146321.58
79674.43,7.99,5.41,17862.73,1377447.35
64408.09,5.90,3.06,40817.89,1113570.85
67932.01,6.22,2.16,51145.32,1593836.79
75146.80,8.51,6.10,55577.97,1560746.87
55378.10,6.57,2.26,41416.98,977980.92
78113.50,6.75,2.41,43345.61,1292592.39
81516.99,8.50,5.24,33263.14,1458912.58
70306.68,6.13,2.49,29572.39,1037780.48
91392.42,7.50,6.24,33379.68,1792254.82
51110.93,6.91,2.10,38408.27,882170.32
99629.01,7.35,5.45,36950.74,1883481.08
72656.93,6.23,3.06,38568.08,1268600.36
71938.00,7.57,3.17,20097.14,1157189.44
69503.15,6.87,4.12,45266.53,1180989.32
75287.53,8.49,3.29,39219.53,1813043.93
56753.73,6.24,2.04,52718.24,866666.06
78044.35,8.05,6.12,43771.65,1671350.14
74838.66,7.54,6.00,23637.26,1137467.59
51580.10,5.07,4.24,37511.34,711499.24
85260.66,6.12,2.14,52358.79,1940195.37
49733.31,9.41,4.18,43558.83,1496466.36
76751.88,8.21,3.16,32295.77,1448995.11
64595.71,6.08,4.02,29668.88,924271.79
88794.60,7.06,6.11,37994.97,1747004.58
69909.08,8.30,4.05,39347.14,1576286.21
89908.77,6.51,4.39,37296.00,1712280.71
76278.75,7.34,4.00,49250.71,1852375.51
55405.12,6.08,4.38,18257.15,1007596.04
68270.76,6.80,4.42,31159.29,1034779.19
71275.31,6.41,4.45,28922.96,1006544.53
53079.80,6.39,2.33,33083.43,736798.53
66690.97,6.68,3.32,22619.11,1109006.29
61644.17,7.75,5.17,27809.14,1384140.23
80015.55,8.85,3.15,52469.77,2084883.79
62591.86,6.77,4.42,32210.43,801194.62
70673.84,5.88,3.06,58256.11,1412242.75
82535.28,7.51,4.14,43272.31,1890789.18
